No,Park Name,Municipality,Location Raw,Tags Raw
1,岩槻文化公園,さいたま市,埼玉県 さいたま市,スポーツ
2,別所沼公園,さいたま市,埼玉県 さいたま市,紅葉の名所花木・草花子供の遊び場スポーツ
3,見沼自然公園（さぎ山記念公園内）,さいたま市,埼玉県 さいたま市,自然豊か子供の遊び場
4,三橋総合公園,さいたま市,埼玉県 さいたま市,自然豊か子供の遊び場スポーツ
5,与野公園,さいたま市,埼玉県 さいたま市,花木・草花子供の遊び場
6,水判土公園,さいたま市,埼玉県 さいたま市,
7,土屋公園,さいたま市,埼玉県 さいたま市,
8,中元児童公園,さいたま市,埼玉県 さいたま市,
9,増形緑地,川越市,埼玉県 川越市,
10,高階運動広場,川越市,埼玉県 川越市,
11,笠幡公園,川越市,埼玉県 川越市,
12,安比奈親水公園,川越市,埼玉県 川越市,スポーツペット自然豊か
13,的場緑地,川越市,埼玉県 川越市,
14,霞ヶ関東緑地,川越市,埼玉県 川越市,
15,市民グランド,川越市,埼玉県 川越市,
16,入間大橋緑地,川越市,埼玉県 川越市,
17,雁見緑地,川越市,埼玉県 川越市,
18,寺山緑地,川越市,埼玉県 川越市,
19,平塚緑地,川越市,埼玉県 川越市,
20,上戸緑地,川越市,埼玉県 川越市,
21,高階南公共広場,川越市,埼玉県 川越市,
22,かほく運動公園,川越市,埼玉県 川越市,
23,スポーツパーク福原,川越市,埼玉県 川越市,スポーツ
24,船木台中央公園,熊谷市,埼玉県 熊谷市,
25,別府沼公園,熊谷市,埼玉県 熊谷市,
26,妻沼運動公園,熊谷市,埼玉県 熊谷市,スポーツ
27,村岡荒川緑地,熊谷市,埼玉県 熊谷市,
28,熊谷運動公園,熊谷市,埼玉県 熊谷市,
29,みいずが原公園,熊谷市,埼玉県 熊谷市,
30,玉井緑地,熊谷市,埼玉県 熊谷市,
31,妻沼東運動公園,熊谷市,埼玉県 熊谷市,
32,利根川総合運動公園,熊谷市,埼玉県 熊谷市,
33,久下荒川緑地,熊谷市,埼玉県 熊谷市,
34,江南総合公園（小原運動公園）,熊谷市,埼玉県 熊谷市,スポーツ
35,万平公園,熊谷市,埼玉県 熊谷市,
36,熊谷荒川緑地,熊谷市,埼玉県 熊谷市,桜梅の名所スポーツ
37,荒川公園,熊谷市,埼玉県 熊谷市,
38,南運動場（伊勢町ふれあい公園）,熊谷市,埼玉県 熊谷市,
39,中央公園,熊谷市,埼玉県 熊谷市,
40,外原公園,熊谷市,埼玉県 熊谷市,
41,別府第2公園,熊谷市,埼玉県 熊谷市,
42,妻沼西第2公園,熊谷市,埼玉県 熊谷市,
43,籠原中央公園,熊谷市,埼玉県 熊谷市,
44,柳崎公園,川口市,埼玉県 川口市,
45,中青木公園,川口市,埼玉県 川口市,
46,新郷西沼公園,川口市,埼玉県 川口市,
47,戸塚赤道公園,川口市,埼玉県 川口市,子供の遊び場
48,戸塚藤谷公園,川口市,埼玉県 川口市,
49,戸塚杉本公園,川口市,埼玉県 川口市,子供の遊び場
50,新郷東部公園,川口市,埼玉県 川口市,スポーツ
51,つきみちした公園,行田市,埼玉県 行田市,
52,棚田中央公園,行田市,埼玉県 行田市,スポーツ
53,鶴土井公園,行田市,埼玉県 行田市,
54,持田南公園,行田市,埼玉県 行田市,
55,向町公園,行田市,埼玉県 行田市,
56,行田市総合公園,行田市,埼玉県 行田市,自然豊か桜梅の名所子供の遊び場イベントスポーツ
57,見沼元圦公園,行田市,埼玉県 行田市,自然豊か風景・景色桜梅の名所紅葉の名所園内施設
58,古代蓮の里,行田市,埼玉県 行田市,風景・景色桜梅の名所花木・草花アート子供の遊び場イベントナイトパーク園内施設話題の公園アウトドア
59,つるまき公園,行田市,埼玉県 行田市,
60,長野中央公園,行田市,埼玉県 行田市,
61,東所沢公園,所沢市,埼玉県 所沢市,
62,亀ヶ谷公園,所沢市,埼玉県 所沢市,
63,椿峰中央公園,所沢市,埼玉県 所沢市,
64,北野公園,所沢市,埼玉県 所沢市,
65,滝の城址公園,所沢市,埼玉県 所沢市,歴史文化子供の遊び場スポーツ
66,所沢カルチャーパーク,所沢市,埼玉県 所沢市,スポーツアウトドア
67,緑町中央公園,所沢市,埼玉県 所沢市,
68,阿須運動公園,飯能市,埼玉県 飯能市,子供の遊び場
69,岩沢運動公園,飯能市,埼玉県 飯能市,
70,ふるさと広場,加須市,埼玉県 加須市,
71,藤ノ木公園,加須市,埼玉県 加須市,
72,けやき公園,加須市,埼玉県 加須市,
73,騎西城山公園,加須市,埼玉県 加須市,
74,騎西中央公園,加須市,埼玉県 加須市,スポーツ
75,騎西総合公園,加須市,埼玉県 加須市,
76,花崎北公園,加須市,埼玉県 加須市,
77,豊野台公園,加須市,埼玉県 加須市,
78,かぞインター公園,加須市,埼玉県 加須市,
79,加須市民運動公園,加須市,埼玉県 加須市,スポーツ
80,大利根運動公園,加須市,埼玉県 加須市,スポーツ
81,加須北部公園,加須市,埼玉県 加須市,
82,大利根西部公園,加須市,埼玉県 加須市,
83,旧川ふるさと公園,加須市,埼玉県 加須市,
84,不動岡北みどり公園,加須市,埼玉県 加須市,
85,鎮守前公園,加須市,埼玉県 加須市,スポーツ
86,渡良瀬総合グラウンド,加須市,埼玉県 加須市,
87,本庄市万年寺下公園,本庄市,埼玉県 本庄市,
88,本庄市城下公園,本庄市,埼玉県 本庄市,
89,本庄市宮内公園,本庄市,埼玉県 本庄市,
90,松風公園,東松山市,埼玉県 東松山市,
91,唐子中央公園,東松山市,埼玉県 東松山市,
92,五領沼公園,東松山市,埼玉県 東松山市,
93,五領町近隣公園,東松山市,埼玉県 東松山市,
94,岩鼻運動公園,東松山市,埼玉県 東松山市,
95,折本山公園,東松山市,埼玉県 東松山市,
96,新郷公園,東松山市,埼玉県 東松山市,スポーツ
97,千年谷公園,東松山市,埼玉県 東松山市,スポーツ
98,駒形公園,東松山市,埼玉県 東松山市,スポーツ
99,薬師沼親水公園,春日部市,埼玉県 春日部市,
100,豊野町第１公園,春日部市,埼玉県 春日部市,
101,谷原第１公園,春日部市,埼玉県 春日部市,
102,八幡公園,春日部市,埼玉県 春日部市,
103,南栄町第１近隣公園,春日部市,埼玉県 春日部市,
104,牛島公園,春日部市,埼玉県 春日部市,
105,庄和総合公園,春日部市,埼玉県 春日部市,自然豊か子供の遊び場
106,旧倉松公園,春日部市,埼玉県 春日部市,
107,大枝公園,春日部市,埼玉県 春日部市,
108,大凧公園,春日部市,埼玉県 春日部市,
109,東中野公園,春日部市,埼玉県 春日部市,
110,一の割公園,春日部市,埼玉県 春日部市,スポーツ
111,大沼公園,春日部市,埼玉県 春日部市,スポーツ
112,川久保公園,春日部市,埼玉県 春日部市,自然豊か風景・景色桜梅の名所花木・草花子供の遊び場ペット
113,内牧公園,春日部市,埼玉県 春日部市,自然豊か子供の遊び場
114,県営）狭山稲荷山公園,狭山市,埼玉県 狭山市,自然豊か風景・景色桜梅の名所ペットスポーツアウトドア安全・安心
115,鵜ノ木運動公園,狭山市,埼玉県 狭山市,スポーツ
116,狭山台中央公園,狭山市,埼玉県 狭山市,スポーツ
117,上奥富運動公園,狭山市,埼玉県 狭山市,スポーツ
118,智光山公園,狭山市,埼玉県 狭山市,自然豊か桜梅の名所動物アウトドア
119,新狭山公園,狭山市,埼玉県 狭山市,子供の遊び場スポーツ
120,堀兼・上赤坂公園,狭山市,埼玉県 狭山市,スポーツ花木・草花
121,広瀬台虹の橋公園,狭山市,埼玉県 狭山市,
122,下忍第一公園,鴻巣市,埼玉県 鴻巣市,自然豊かスポーツ子供の遊び場
123,筑波児童公園,鴻巣市,埼玉県 鴻巣市,安全・安心スポーツ子供の遊び場イベント
124,下忍第二公園,鴻巣市,埼玉県 鴻巣市,花木・草花子供の遊び場スポーツ
125,袋ふれあい公園,鴻巣市,埼玉県 鴻巣市,子供の遊び場イベントスポーツ
126,白草台運動公園,深谷市,埼玉県 深谷市,スポーツ
127,仙元山公園,深谷市,埼玉県 深谷市,スポーツ
128,上柴中央公園,深谷市,埼玉県 深谷市,
129,北部運動公園,深谷市,埼玉県 深谷市,
130,花園総合運動公園,深谷市,埼玉県 深谷市,スポーツ
131,柴崎公園,深谷市,埼玉県 深谷市,
132,東公園,深谷市,埼玉県 深谷市,
133,東方公園,深谷市,埼玉県 深谷市,
134,常盤公園,深谷市,埼玉県 深谷市,スポーツ
135,花園水辺公園,深谷市,埼玉県 深谷市,
136,平塚公園,上尾市,埼玉県 上尾市,子供の遊び場
137,上平公園,上尾市,埼玉県 上尾市,スポーツ
138,ゆりが丘公園,上尾市,埼玉県 上尾市,
139,こどもの城公園,上尾市,埼玉県 上尾市,
140,浅間台大公園,上尾市,埼玉県 上尾市,
141,鴨川中央公園,上尾市,埼玉県 上尾市,
